"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S035989"|"TOP SCHOOLS WEEKEND 2019"|"20190615165444"|"AA00073"|"Arrange interview with Shrewsbury, Lancing, Uppingham, and Warwick."|"N"
"S037708"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190618144519"|"AA00079"|""|"N"
"S037441"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190918001845"|"AA00007"|""|"N"
"S037712"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190921104547"|"AA00080"|""|"N"
"S036377"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190618144519"|"AA00079"|""|"N"
"S038471"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190910155220"|"AA00073"|""|"N"
"S038366"|"TOP SCHOOLS WEEKEND 2019"|"20190907004447"|"AA00007"|"20190906: ed sch
20190731: pending schools list fr p"|"N"
"S038484"|"TOP SCHOOLS WEEKEND 2019"|"20190909100910"|"AA00098"|"20190909: cfmed attend"|"N"
"S040547"|"UK EDUCATION EXPO (OCT 2020)"|"20201024220121"|"30012"|""|"N"
"S035362"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190621115344"|"AA00079"|""|"N"
"S037552"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190621120728"|"AA00079"|""|"N"
"S036858"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190621120728"|"AA00079"|""|"N"
"S037937"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190621120728"|"AA00079"|""|"N"
"S034791"|"TOP SCHOOLS WEEKEND 2019"|"20190622122502"|"AA00082"|"Harrow
Arrange interview on SAT morning (21/9)"|"N"
"S033327"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190704144145"|"AA00079"|""|"N"
"S038118"|"TOP SCHOOLS WEEKEND 2019"|"20190622141530"|"AA00029"|""|"N"
"S038119"|"TOP SCHOOLS WEEKEND 2019"|"20190622141555"|"AA00029"|""|"N"
"S037866"|"TOP SCHOOLS WEEKEND 2019"|"20190705100354"|"AA00082"|"Charterhouse, Bromsgrove
Prefer SAT interview"|"N"
"S035819"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190705145417"|"AA00079"|""|"N"
