"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S034313"|545|"20180120"|9945|""|"20180120140025"|""|""|"Y"
"S033749"|524|"20180122"|11700|""|"20180122113010"|""|""|"Y"
"S033843"|55|"20180810"|1000|""|"20180810102612"|""|""|"Y"
"S036206"|549|"20180122"|5500|""|"20180122164914"|"AA00071"|""|"Y"
"S036427"|30044|"20180125"|1295|""|"20180125102011"|""|""|"Y"
"S036347"|380|"20180125"|3000|""|"20180125102854"|""|""|"Y"
"S035545"|655|"20180125"|11550|""|"20180125123733"|""|""|"Y"
"S036341"|103|"20180125"|11770|""|"20180125135448"|""|""|"Y"
"S036521"|50|"20180125"|5000|""|"20180125153030"|""|""|"Y"
"S036521"|323|"20180125"|5000|""|"20180125153200"|""|""|"Y"
"S036169"|423|"20180126"|5365|""|"20180126100808"|""|""|"Y"
"S034708"|533|"20180127"|2000|""|"20180127110338"|""|""|"Y"
"S034186"|322|"20180131"|10565|""|"20180131111048"|""|""|"Y"
"S035626"|61|"20180129"|10200|""|"20180129120508"|"AA00054"|""|"Y"
"S033476"|6|"20180129"|15000|""|"20180129180834"|""|""|"Y"
"S033420"|6|"20180130"|15000|""|"20180130101505"|""|""|"N"
"S035824"|4|"20180130"|14187|""|"20180130125359"|""|""|"Y"
"S036440"|322|"20180130"|10845|""|"20180130152839"|""|""|"Y"
"S035957"|6|"20180130"|15000|""|"20180130175853"|""|""|"Y"
"S036444"|655|"20180131"|11550|""|"20180131155255"|""|""|"Y"
"S036581"|154|"20180130"|15430|""|"20180130185231"|"AA00054"|""|"Y"
"S036533"|103|"20180131"|11770|""|"20180131155506"|""|""|"Y"
"S036450"|323|"20180131"|9609|""|"20180131170603"|""|""|"Y"
"S033918"|533|"20180201"|24240|""|"20180201162431"|""|""|"Y"
"S034595"|15|"20180201"|11000|""|"20180201170717"|""|""|"Y"
"S036236"|655|"20180205"|11550|""|"20180205155002"|""|""|"Y"
"S035749"|12|"20180416"|1500|""|"20180416132012"|""|""|"Y"
"S011379"|413|"20180202"|7500|""|"20180202114443"|""|""|"Y"
"S035424"|81|"20180202"|7770|""|"20180202155808"|""|""|"Y"
"S035151"|533|"20180202"|26240|""|"20180202192628"|""|""|"Y"
"S034992"|9|"20180203"|11645|""|"20180203102612"|""|""|"Y"
"S011667"|9|"20180208"|11645|""|"20180208122551"|""|""|"Y"
"S035394"|148|"20180205"|1960|""|"20180205162338"|"AA00054"|""|"Y"
"S035315"|7|"20180206"|14750|""|"20180206105245"|""|""|"Y"
"S012556"|7|"20180207"|14750|""|"20180207102754"|""|""|"Y"
"S035905"|103|"20180207"|11770|""|"20180207174254"|""|""|"Y"
"S035826"|7|"20180207"|14750|""|"20180207182158"|""|""|"Y"
"S036271"|7|"20180208"|14750|""|"20180208124756"|""|""|"Y"
"S035762"|7|"20180209"|14750|""|"20180209121803"|""|""|"Y"
"S012130"|7|"20180209"|14750|""|"20180209170353"|""|""|"Y"
"S035363"|7|"20180213"|14750|""|"20180213103037"|""|""|"Y"
"S035583"|346|"20180209"|2422.5|""|"20180209180932"|"AA00071"|""|"Y"
"S035582"|346|"20180209"|2422.5|""|"20180209180950"|""|""|"Y"
"S030998"|278|"20180213"|1500|""|"20180213103051"|""|""|"Y"
"S034342"|20|"20180215"|9753|""|"20180215112337"|""|""|"Y"
"S035865"|404|"20180213"|3395|""|"20180213162404"|"AA00054"|""|"Y"
"S036539"|575|"20180214"|9000|""|"20180214151455"|""|""|"Y"
"S039195"|218|"20200225"|11250|""|"20200225112603"|""|""|"Y"
"S033850"|6|"20170204"|15000|"5% sports scholarship"|"20180219161925"|"AA00007"|""|"Y"
"S036718"|679|"20180220"|500|""|"20180220113805"|""|"non-comm course"|"N"
"S036471"|7|"20180221"|14750|""|"20180221100603"|""|""|"Y"
"S036670"|373|"20180221"|10000|""|"20180221162432"|""|""|"Y"
"S036644"|554|"20180224"|2000|""|"20180224162533"|""|""|"Y"
"S036770"|679|"20180221"|500|""|"20180221204228"|"AA00007"|"non-comm course"|"N"
"S035913"|345|"20180222"|10100|""|"20180222103811"|""|""|"Y"
"S036170"|9|"20180222"|11645|""|"20180222114847"|""|""|"Y"
"S036774"|200|"20180312"|10000|""|"20180312104244"|""|""|"Y"
"S036509"|9|"20180222"|11645|""|"20180222122518"|"AA00054"|""|"Y"
"S035638"|101|"20180222"|9500|""|"20180222122637"|""|""|"Y"
"S036565"|597|"20180226"|8000|""|"20180226141057"|""|""|"Y"
"S035693"|367|"20180222"|10425|""|"20180222143705"|"AA00054"|""|"Y"
"S035099"|30015|"20180223"|7470|""|"20180223100847"|""|""|"Y"
"S035273"|3|"20180223"|1200|""|"20180223120955"|""|""|"Y"
"S039499"|133|"20200402"|2000|""|"20200624162851"|"AA00080"|""|"Y"
"S036461"|511|"20180223"|0|""|"20180223122444"|""|"Strathallan confirmed that at present, there is no requirement for your family to pay a deposit at this time.  

The international deposit fee will be added to Pia first term’s fee invoice which will be issued in June."|"Y"
"S036832"|3|"20180223"|1200|""|"20180223141610"|""|""|"Y"
"S036705"|670|"20180224"|300|""|"20180224173949"|""|"Final payment due 6 weeks before course starts."|"Y"
"S035453"|278|"20180226"|1500|""|"20180226131716"|""|""|"Y"
"S035963"|278|"20180226"|1500|""|"20180226163013"|""|""|"Y"
