"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
195|"2018"|"A* - A(7-9)"|"59.7"|"20181109142309"|"AA00078"|"7-9= 46.4%"|"GCSE"
195|"2018"|"A* - B"|"80.7"|"20181109142321"|"AA00078"|""|"GCSE"
195|"2018"|"A* - C(4-9)"|"93.7"|"20181109142335"|"AA00078"|""|"GCSE"
195|"2018"|"A* - B"|"61.91"|"20181109142352"|"AA00078"|"6-9= 64.7%"|"A Level"
180|"2018"|""|"35.5"|"20181109150003"|"AA00078"|""|"IB"
180|"2018"|"A* - B"|"65"|"20181109150311"|"AA00078"|""|"A Level"
180|"2018"|"A* - A(7-9)"|"48"|"20181109150322"|"AA00078"|""|"GCSE"
180|"2018"|"A* - C(4-9)"|"97"|"20181109150333"|"AA00078"|""|"GCSE"
362|"2018"|"A* - A(7-9)"|"35"|"20181113122251"|"AA00078"|""|"GCSE"
362|"2018"|"A* - B"|"56"|"20181113122257"|"AA00078"|""|"GCSE"
558|"2018"|"A* - A(7-9)"|"57"|"20181113155436"|"AA00078"|"Level 9= 20%"|"GCSE"
213|"2018"|"A* - B"|"45"|"20190411100232"|"AA00078"|""|"A Level"
213|"2018"|"A* - C"|"71"|"20190411100245"|"AA00078"|""|"A Level"
330|"2018"|"A* - C(4-9)"|"97"|"20190417102833"|"AA00078"|""|"GCSE"
545|"2018"|"A* - A(7-9)"|"60"|"20181113165816"|"AA00078"|""|"GCSE"
457|"2018"|"A* - A(7-9)"|"22"|"20190417173839"|"AA00078"|""|"GCSE"
479|"2018"|"A* - A"|"41"|"20181113182128"|"AA00078"|""|"A Level"
479|"2018"|"A* - C"|"93"|"20181113182143"|"AA00078"|""|"A Level"
274|"2018"|"A*"|"11"|"20181114112829"|"AA00078"|""|"A Level"
274|"2018"|"A* - A"|"46"|"20181114112838"|"AA00078"|""|"A Level"
274|"2018"|"A* - B"|"76"|"20181114112844"|"AA00078"|""|"A Level"
274|"2018"|"A* - C"|"91"|"20181114112852"|"AA00078"|""|"A Level"
274|"2018"|"A*(8-9)"|"42"|"20181114112904"|"AA00078"|""|"GCSE"
274|"2018"|"A* - A(7-9)"|"68"|"20181114112912"|"AA00078"|""|"GCSE"
274|"2018"|"A* - B"|"91"|"20181114112920"|"AA00078"|""|"GCSE"
274|"2018"|"A* - C(4-9)"|"97"|"20181114112929"|"AA00078"|""|"GCSE"
212|"2018"|"A* - A"|"36.8"|"20181114114335"|"AA00078"|""|"A Level"
212|"2018"|"A* - B"|"65.7"|"20181114114343"|"AA00078"|""|"A Level"
212|"2018"|"A* - C"|"86.3"|"20181114114354"|"AA00078"|""|"A Level"
457|"2018"|"A* - B"|"48"|"20190417173853"|"AA00078"|""|"GCSE"
