"school_id"|"financialyear"|"description"|"feetype"|"fee"|"payable"|"startdate"|"enddate"|"lastupdate"|"staffid"|"remarks"
557|"2013-14"|"Year 12"|"Course"|7208|"Truro High School"|""|""|"20130815093953"|"AA00025"|""
557|"2013-14"|"Year 13"|"Course"|7208|"Truro High School"|""|""|"20130815094000"|"AA00025"|""
235|"2013-14"|"Year 11"|"Course"|12250|""|""|""|"20130821191507"|"AA00039"|""
235|"2013-14"|"Year 13"|"Course"|12250|""|""|""|"20130821191532"|"AA00039"|""
107|"2013-14"|"Year 7"|"Course"|6750|"Chase Academy"|""|""|"20130827094527"|"AA00025"|"Y7 - Y10 Boarding Plus Package GBP7185/term"
107|"2013-14"|"Year 8"|"Course"|6750|"Chase Academy"|""|""|"20130827094530"|"AA00025"|"Y7 - Y10 Boarding Plus Package GBP7185/term"
107|"2013-14"|"Year 9"|"Course"|6750|"Chase Academy"|""|""|"20130827094548"|"AA00025"|"Y7 - Y10 Boarding Plus Package GBP7185/term"
107|"2013-14"|"Year 10"|"Course"|6750|"Chase Academy"|""|""|"20130827094557"|"AA00025"|"Y7 - Y10 Boarding Plus Package GBP7185/term"
107|"2013-14"|"Year 11"|"Course"|7750|"Chase Academy"|""|""|"20130827094621"|"AA00025"|"Y11 - Y13 Boarding Plus Package GBP8185/term"
107|"2013-14"|"Year 12"|"Course"|7750|"Chase Academy"|""|""|"20130827094632"|"AA00025"|"Y11 - Y13 Boarding Plus Package GBP8185/term"
107|"2013-14"|"Year 13"|"Course"|7750|"Chase Academy"|""|""|"20130827094645"|"AA00025"|"Y11 - Y13 Boarding Plus Package GBP8185/term"
464|"2013-14"|"Year 7"|"Course"|7722|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165901"|"AA00025"|""
464|"2013-14"|"Year 8"|"Course"|8078|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165909"|"AA00025"|""
464|"2013-14"|"Year 9"|"Course"|8660|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165916"|"AA00025"|""
464|"2013-14"|"Year 10"|"Course"|8660|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165921"|"AA00025"|""
464|"2013-14"|"Year 11"|"Course"|8660|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165926"|"AA00025"|""
464|"2013-14"|"Year 12"|"Course"|8660|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165932"|"AA00025"|""
464|"2013-14"|"Year 13"|"Course"|8660|"St. Mary's School Shaftesbury Trust"|""|""|"20130827165937"|"AA00025"|""
464|"2013-14"|"Deposit"|"Deposit"|0|"St. Mary's School Shaftesbury Trust"|""|""|"20130827170001"|"AA00025"|"one term school fees"
32|"2013-14"|"Year 9"|"Course"|9470|""|""|""|"20130903120421"|"AA00025"|""
32|"2013-14"|"Year 10"|"Course"|9470|""|""|""|"20130903120427"|"AA00025"|""
32|"2013-14"|"Year 11"|"Course"|9470|""|""|""|"20130903120432"|"AA00025"|""
32|"2013-14"|"Year 12"|"Course"|9470|""|""|""|"20130903120437"|"AA00025"|""
32|"2013-14"|"Year 13"|"Course"|9470|""|""|""|"20130903120443"|"AA00025"|""
57|"2013-14"|"Year 7"|"Course"|10800|""|""|""|"20130903153400"|"AA00025"|""
57|"2013-14"|"Year 8"|"Course"|10800|""|""|""|"20130903153407"|"AA00025"|""
57|"2013-14"|"Year 9"|"Course"|10800|""|""|""|"20130903153413"|"AA00025"|""
57|"2013-14"|"Year 10"|"Course"|10800|""|""|""|"20130903153418"|"AA00025"|""
57|"2013-14"|"Year 11"|"Course"|10800|""|""|""|"20130903153423"|"AA00025"|""
57|"2013-14"|"Year 12"|"Course"|10800|""|""|""|"20130903153428"|"AA00025"|""
57|"2013-14"|"Year 13"|"Course"|10800|""|""|""|"20130903153434"|"AA00025"|""
62|"2013-14"|"Year 7"|"Course"|9950|""|""|""|"20130903153708"|"AA00025"|""
62|"2013-14"|"Year 8"|"Course"|9950|""|""|""|"20130903153712"|"AA00025"|""
62|"2013-14"|"Year 9"|"Course"|9950|""|""|""|"20130903153718"|"AA00025"|""
62|"2013-14"|"Year 10"|"Course"|9950|""|""|""|"20130903153723"|"AA00025"|""
62|"2013-14"|"Year 11"|"Course"|9950|""|""|""|"20130903153729"|"AA00025"|""
62|"2013-14"|"Year 12"|"Course"|9950|""|""|""|"20130903153736"|"AA00025"|""
62|"2013-14"|"Year 13"|"Course"|9950|""|""|""|"20130903153749"|"AA00025"|""
66|"2013-14"|"Year 7"|"Course"|7200|"Bolitho School"|""|""|"20130903154239"|"AA00025"|""
66|"2013-14"|"Year 8"|"Course"|7200|"Bolitho School"|""|""|"20130903154256"|"AA00025"|""
66|"2013-14"|"Year 9"|"Course"|7550|"Bolitho School"|""|""|"20130903154313"|"AA00025"|""
66|"2013-14"|"Year 10"|"Course"|7550|"Bolitho School"|""|""|"20130903154318"|"AA00025"|""
596|"2013-14"|"Year 10"|"Course"|6870|""|""|""|"20130810160044"|"AA00025"|""
596|"2013-14"|"Year 11"|"Course"|6870|""|""|""|"20130810160048"|"AA00025"|""
596|"2013-14"|"Year 12"|"Course"|6870|""|""|""|"20130810160056"|"AA00025"|""
596|"2013-14"|"Year 13"|"Course"|6870|""|""|""|"20130810160101"|"AA00025"|""
591|"2013-14"|"Year 7"|"Course"|7670|""|""|""|"20130813102926"|"AA00025"|""
591|"2013-14"|"Year 8"|"Course"|7670|""|""|""|"20130813102931"|"AA00025"|""
591|"2013-14"|"Year 9"|"Course"|7670|""|""|""|"20130813102936"|"AA00025"|""
591|"2013-14"|"Year 10"|"Course"|7670|""|""|""|"20130813102943"|"AA00025"|""
591|"2013-14"|"Year 11"|"Course"|7710|""|""|""|"20130813103004"|"AA00025"|""
591|"2013-14"|"Year 12"|"Course"|7710|""|""|""|"20130813103009"|"AA00025"|""
591|"2013-14"|"Year 13"|"Course"|7710|""|""|""|"20130813103016"|"AA00025"|""
187|"2013-14"|"Year 7"|"Course"|7540|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103200"|"AA00025"|""
187|"2013-14"|"Year 8"|"Course"|7540|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103206"|"AA00025"|""
187|"2013-14"|"Year 9"|"Course"|8500|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103213"|"AA00025"|""
187|"2013-14"|"Year 10"|"Course"|8500|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103219"|"AA00025"|""
187|"2013-14"|"Year 11"|"Course"|8500|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103228"|"AA00025"|""
187|"2013-14"|"Year 12"|"Course"|8780|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103318"|"AA00025"|"Y12 & Y13: Current Pupils GBP8500 / (Direct Entrants - GBP 8780)"
187|"2013-14"|"Year 13"|"Course"|8780|"Frensham Heights Educational Trust Ltd"|""|""|"20130813103320"|"AA00025"|"Y12 & Y13: Current Pupils GBP8500 / (Direct Entrants - GBP 8780)"
508|"2013-14"|"Year 9"|"Course"|9813|"Stonyhurst"|""|""|"20130813103449"|"AA00025"|""
508|"2013-14"|"Year 10"|"Course"|9813|"Stonyhurst"|""|""|"20130813103454"|"AA00025"|""
508|"2013-14"|"Year 11"|"Course"|9813|"Stonyhurst"|""|""|"20130813103459"|"AA00025"|""
508|"2013-14"|"Year 12"|"Course"|9813|"Stonyhurst"|""|""|"20130813103504"|"AA00025"|""
508|"2013-14"|"Year 13"|"Course"|9813|"Stonyhurst"|""|""|"20130813103509"|"AA00025"|""
13|"2013-14"|"Year 9"|"Course"|7779|"Warwick School"|""|""|"20130813103932"|"AA00025"|""
13|"2013-14"|"Year 10"|"Course"|7779|"Warwick School"|""|""|"20130813103937"|"AA00025"|""
13|"2013-14"|"Year 11"|"Course"|7779|"Warwick School"|""|""|"20130813103942"|"AA00025"|""
13|"2013-14"|"Year 12"|"Course"|7779|"Warwick School"|""|""|"20130813103946"|"AA00025"|""
