"expo_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
12|17|"20181023193156"|"AA00032"|"The result is for your reference only. Entrance Exam has been taken on the 24th Oct 2018."|""|"500"|""
12|522|"20181010141100"|"AA00079"|""|"Share Booth with Tanuton School"|"500"|""
14|68|"20181228105051"|"AA00079"|""|""|"500"|""
16|687|"20191004124326"|"AA00079"|""|""|"500"|""
15|438|"20191024161350"|"AA00083"|"If you are Encouraged to Take Exam:

•Your consultant-in-charge will contact you very soon to make the exam arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•The school would like to see your UKiset score if you have taken the test, please submit the test result to your consultant-in-charge asap.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.


If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•The school would like to see your UKiset score if you have taken the test, please submit the test result to your consultant-in-charge asap.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|"Shared Booth with Sherborne Girls"|"500"|""
24|50|"20230128164452"|"AA00079"|""|""|"800"|""
15|211|"20191023201544"|""|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•Your consultant-in-charge will contact you very soon to make the exam arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|"Shared Booth with Haberdashers' Monmouth School for Boys"|"500"|""
14|185|"20190226231416"|"AA00007"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•We will send you the exam details and timetable very soon.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
17|110|"20191008131924"|"AA00079"|""|""|""|""
14|200|"20190226132112"|"AA00079"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please complete the school online Enquiry Form ASAP via the below link:
https://online.gordonstoun.org.uk/requests/Enquiry.htm
•Please inform your consultant-in-charge after completion of the online registration.
•Complete and return to your consultant-in-charge the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•Your consultant-in-charge will contact you very soon to make the exam arrangement.
•Please complete the school online Enquiry Form ASAP via the below link:
https://online.gordonstoun.org.uk/requests/Enquiry.htm
•Please inform your consultant-in-charge after completion of the online registration.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please complete the school online Enquiry Form ASAP via the below link:
https://online.gordonstoun.org.uk/requests/Enquiry.htm
•Please inform your consultant-in-charge after completion of the online registration.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
14|256|"20181228105224"|"AA00079"|""|""|"500"|""
15|524|"20191024155628"|""|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•Your consultant-in-charge will contact you very soon to make the exam arrangement and send you the Registration Form to complete before the exam.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|"Shared Booth with Taunton School International"|"500"|""
15|450|"20191017164646"|"AA00079"|""|""|"500"|""
15|101|"20191024160759"|""|"If you are Encouraged to Take Exam:

•Please download the school Registration Form from the link below. 
•Complete the school Registration Form and return to your consultant-in-charge at your earliest convenience. 
•Your consultant-in-charge will arrange exam for you upon receipt your completed 
registration form 
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
