"school_id"|"coursename"|"description"|"lastupdate"|"staffid"|"remarks"|"year"|"coursedate"|"name"|"subject"
3|"Year 11"|"2 Compulsory Papers"|"20130426141046"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 12"|"For Sept 2012 Entry:

Maths - YES Calculator (1hr) [27 Sep 2011]
Oxford English Online Test - NO Dictionary (1.5hrs) [15 Mar 2012] *School will provide the username and password information sheet
English essay - NO Dictionary (45mins) [15 Mar 2012]

English (for native speakers) (1hr) [6 Oct 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
3|"Year 12"|"2 Compulsory Papers"|"20130426141457"|"AA00028"|""|"2013-14"|"20130101"|""|""
4|"Year 10"|"For Sept 2012 Entry:

EFL (for those English is NOT their 1st language) (45mins)  [28 Jan 2012]      
English (for those English is their 1st language) (1hr5mins) [28 Jan 2012]
Maths - NO Calculator (45mins) [28 Jan 2012]
Extended Maths - NO Calculator (45mins)  [28 Jan 2012]
Science - YES Calculator (45mins)  [28 Jan 2012]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
4|"Year 12"|"For Sept 2012 Entry:

Compulsory papers: Standard Test
1. Standard Vocabulary Test (20mins) [28 Jan 2012]
2. Non Verbal Reasoning (Matrices)* Questions Booklet with Hardcopy Answer Sheet (45mins)  [28 Jan 2012]
3. Numeracy Test - NO Calculator (15mins) [28 Jan 2012]
4. EAL (45mins) [28 Jan 2012]

Subject papers ALL:- (45mins)  [28 Jan 2012]
Biology
Chemistry
Economics
English
Extended Maths (FOR Candidates in Hong Kong ONLY)
French
Geography
History
Mathsematics
Physics *with answer sheet
Religious Studies"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
4|"Year 9"|"For Sept 2012 Entry:

EAL (for those English is NOT their 1st language) (45mins)  [28 Jan 2012]      
English (for those English is their 1st language) (1hr5mins) [28 Jan 2012]
Maths - NO Calculator (45mins) [28 Jan 2012]
Extended Maths - NO Calculator (45mins)  [28 Jan 2012]
Science - YES Calculator (45mins)  [28 Jan 2012]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
4|"Year 10"|""|"20130426142329"|"AA00028"|""|"2013-14"|"20130101"|""|""
4|"Year 9"|""|"20130426142341"|"AA00028"|""|"2013-14"|"20130101"|""|""
4|"Year 9"|"3 Compulsory Papers"|"20130426143944"|"AA00028"|""|"2013-14"|"20130101"|""|""
4|"Year 9"|"3 Compulsory Papers"|"20130426143952"|"AA00028"|""|"2013-14"|"20130901"|""|""
4|"Year 10"|""|"20130426142352"|"AA00028"|""|"2013-14"|"20130101"|""|""
