"aa_id"|"event"|"school_id"|"eventsubject"|"qualification"|"piece"|"composer"|"eventscore"|"offer"|"piority"|"lastupdate"|"staffid"|"remarks"
"S011227"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S009578"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009578"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009578"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030304"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903202641"|"AA00002"|""
"S030245"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S009833"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903202641"|"AA00002"|""
"S012155"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S009872"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009338"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009338"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009338"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009338"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009650"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009650"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009650"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007638"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S030315"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S003557"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S004168"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S004168"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S008947"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S008947"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009640"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009640"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009640"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S006202"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030189"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S007322"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007322"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030183"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S030363"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S011860"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S008678"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S006844"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030283"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903004857"|"AA00007"|""
"S009586"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
