"statustype"|"statusfor"
"SELECTED SCHOOL LIST REMARK_ENG"|"schoolnote"
"SELECTED SCHOOL LIST REMARK_CHI"|"schoolnote"
"ALUMNI"|"schoolnote"
"UNIVERSITY DESTINATION"|"schoolnote"
"HSBC"|"source"
"Passport"|"standarddocumentname"
"Birth Certificate"|"standarddocumentname"
"UKiset"|"optionaldocumentname"
"Holland/Netherlands"|"nationality"
"COMPETITION"|"schoolnote"
"NATIONALITY MIX"|"schoolnote"
"Level 5"|"course"
"Easter"|"course"
"Level 6"|"course"
"Level 7"|"course"
"Level 8"|"course"
"Level 9"|"course"
"Level 10"|"course"
"Year 1"|"course"
"Academic Preparation Course"|"course"
"IELTS"|"optionaldocumentname"
"Transferred Successfully to Con Team"|"action"
"Music Achievement"|"standarddocumentname"
"AA Test_Math and Grammar"|"standarddocumentname"
"AA Test_Essay"|"standarddocumentname"
"Left Message to Con Team"|"action"
"Client Refused to Leave Contact No."|"action"
"Cold"|"placement"
"Warm"|"placement"
"Hot"|"placement"
"Very Hot"|"placement"
"University"|"course"
