"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S009822"|"N"|""|"Singapore Airlines SQ865"|""|"Singapore"|"20140829"|"2240"|"itin received"|""|"20140726123346"|"AA00032"|""|61|1
"S009822"|"Y"|"WHG"|"Singapore Airlines SQ322"|""|"London Heathrow T3"|"20140830"|"0555"|"itin received"|""|"20140726134654"|"AA00032"|""|61|2
"S031517"|"Y"|"WHG"|"British Airways BA26"|""|"London Heathrow T5"|"20140731"|"0455"|"itin received"|""|"20140726135115"|"AA00032"|"travel as UM"|75|1
"S011940"|"Y"|"School"|"Cathay Pacific CX239"|""|"London Heathrow T3"|"20140830"|"1810"|"itin received"|""|"20140726140646"|"AA00032"|""|352|1
"S030276"|"N"|""|"Emirate EK381"|""|"Dubai T3"|"20140831"|"0435"|""|""|"20140726140513"|"AA00032"|""|309|1
"S012209"|"Y"|"Others"|""|""|""|"20140711"|""|""|""|"20140711132431"|"AA00032"|""|26|1
"S011347"|"Y"|"School"|""|""|""|"20140711"|""|""|""|"20140711131940"|"AA00032"|""|24|1
"S031243"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140712103444"|"AA00032"|""|51|1
"S012234"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140712103521"|"AA00032"|""|53|1
"S012517"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140712103147"|"AA00032"|""|45|1
"S031341"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140712103829"|"AA00032"|""|55|1
"S030622"|"Y"|"Quest"|""|""|""|"20140712"|""|""|""|"20140712105215"|"AA00032"|""|66|1
"S010882"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140712115332"|"AA00032"|""|88|1
"S010882"|"Y"|"School"|""|""|""|"20140712"|""|"itin requested"|""|"20140726154018"|"AA00032"|""|88|1
"S010882"|"Y"|"School"|""|""|""|"20140712"|""|"itin requested"|"will reply later"|"20140726154244"|"AA00032"|""|88|1
"S031337"|"Y"|"Quest"|""|""|""|"20140712"|""|""|""|"20140712120818"|"AA00032"|""|111|1
"S031400"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140712145415"|"AA00032"|""|169|1
"S012637"|"Y"|"WHG"|""|""|""|"20140714"|""|""|""|"20140714101150"|"AA00032"|""|201|1
