"school_id"|"detailtype"|"detail"|"case"|"lastupdate"|"staffid"
13|"School"|"* Since September 2013, Mr Gus Lock, read ancient and modern history at Oxford.
* most of the boarders are Chinese 
* less than 10 Oxbridge a year
* can ask for scholarship
* campus not far from high street, about 20 mins walk 
* near Warwick Castle
* the ethos - ‘if you’re going to do something, do it to the best of your ability’
*  Art and DT very good"|"N"|"20140514010141"|""
13|"School"|"914 | 50 acres
* Since September 2013, Mr Gus Lock, read ancient and modern history at Oxford.
* most of the boarders are Chinese 
* less than 10 Oxbridge a year
* can ask for scholarship
* campus not far from high street, about 20 mins walk 
* near Warwick Castle
* the ethos - ‘if you’re going to do something, do it to the best of your ability’
*  Art and DT very good
* Warwick School has a great extra-curricular programme with over 80 clubs and societies"|"N"|"20140514010519"|""
13|"School"|"Sports:

Major: Rugby

Warwick School have been national schools water polo champions more than once

hockey, cricket, swimming, tennis, cross country, athletics, rowing, canoeing, clay pigeon shooting, cricket, golf"|"N"|"20140514002824"|""
1|"Others"|"For AA Colleagues:

TS
(If parents want to apply before TS, can check with school)

* Dr Ko's sons studied there before.

* can ask for scholarship"|"N"|"20140511232631"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.

* a female head (Miss Felicity Lusk, An organist; director of music in New Zealand schools)

* about less than 20 Oxbridge every year

* work experience available in Abingdon Hospital for aspiring medics.

* 6th: suits

* About 50% boarders are from overseas

GSG View:

A premier league boys’ school, with a strong commitment to a broad education and academic success. Best suits those robust boys who will knuckle down and do ‘a hell of a lot of hard work’, but understands that boys need to be amused and not just fed facts."|"N"|"20140511231946"|""
1|"School"|"Major Sports:
Rugby, Hockey, Cricket, Tennis, Rowing strong

Other Sports:
Athletics• Badminton • Boat Club • Canoeing • Cricket• Cross-Country• Fencing• Football• Futsal Club• Golf• Hockey• Karate• Real Tennis• Rugby• Sailing• Shooting• Squash• Swimming• Table Tennis• Tennis• Triathlon • Water Polo

Rugby & Rowing camp/Academy

Fencing is good"|"N"|"20140511230207"|""
1|"School"|"* Chess is strong, many students join UK Chess Challenge ‘Megafinal""."|"N"|"20140511225337"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.

* a female head (Miss Felicity Lusk, An organist; director of music in New Zealand schools)

* about less than 20 Oxbridge every year

* work experience available in Abingdon Hospital for aspiring medics.

* 6th: suits

* About 50% boarders are from overseas

GSG View:

A premier league boys’ school, with a strong commitment to a broad education and academic success. Best suits those robust boys who will knuckle down and do ‘a hell of a lot of hard work’, but understands that boys need to be amused and not just fed facts."|"N"|"20140514210511"|""
1|"Sports"|"Major Sports:
Rugby, Hockey, Cricket, Tennis, Rowing strong

Other Sports:
Athletics• Badminton • Boat Club • Canoeing • Cricket• Cross-Country• Fencing• Football• Futsal Club• Golf• Hockey• Karate• Real Tennis• Rugby• Sailing• Shooting• Squash• Swimming• Table Tennis• Tennis• Triathlon • Water Polo

Rugby & Rowing camp/Academy

Fencing is good"|"N"|"20140514210517"|""
2|"Others"|"AA only:
-TS_(If parents want to apply before TS, don't stop)
-the atmosphere of Badminton is like BPS in HK"|"N"|"20140512214944"|""
2|"School"|"Sports:
Major: Hockey, netball, tennis and swimming"|"N"|"20140512000243"|""
2|"Sports"|"Sports:
Major: Hockey, netball, tennis and swimming"|"N"|"20140514210828"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.
* a female head (Miss Felicity Lusk, An organist; director of music in New Zealand schools)
* about less than 20 Oxbridge every year
* work experience available in Abingdon Hospital for aspiring medics.
* 6th: suits
* About 50% boarders are from overseas

GSG View:
A premier league boys’ school, with a strong commitment to a broad education and academic success. Best suits those robust boys who will knuckle down and do ‘a hell of a lot of hard work’, but understands that boys need to be amused and not just fed facts."|"N"|"20140514210718"|""
21|"School"|"*"|"N"|"20140514212539"|""
21|"School"|"1845 | 6 acres
* out of the total no. of boarders approx 46% are full boarders. 
* Since 2006, Mr Richard Cairns MA (mid forties) is the head. Left Oxford with a first in history.


GSG View

Happy, broad-minded town school for children and families who are keen on learning – producing fantastic results and sparkling individual success stories. Pupils are encouraged to achieve as much as they can, so you’d never be bored, but you could end up with too much on. Bold ideas fostered in student, staff and parent body, all the while anchoring the opportunities enabled by the fees in real world experience. Detractors of the school (often parents of ex-pupils at the prep or pre-prep) see it as too results focussed, with some families turning to outside tutoring to enable their children to get into the College. CE pass mark will be raised to 60 per cent in 2015, fuel for the fire of those who judge the school to be top-slicing to climb the results ladder, explained transparently by the school as a tool to manage the high volume of applications."|"N"|"20140514213512"|""
322|"ACTIVITIES"|"Year 12 activities week, 
programme of university links enabling sixth formers to get placements in science research departments"|"N"|"20160625164624"|"AA00061"
250|"SPORTS"|"* Hockey, cricket, netball, tennis main sport, strong in hockey"|"N"|"20140918132553"|"AA00006"
