"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
190|"2013"|"A* - A"|"45"|"20131106094435"|"AA00040"|""|"A Level"
190|"2013"|"A* - A"|"30"|"20131106094455"|"AA00040"|""|"GCSE"
591|"2013"|"A* - A"|"24.56"|"20131107170220"|"AA00040"|""|"A Level"
64|"2013"|"A* - A"|"32"|"20131107170722"|"AA00040"|""|"A Level"
251|"2013"|"A* - A"|"36"|"20131107174027"|"AA00040"|""|"A Level"
251|"2013"|"A* - B"|"68"|"20131107174035"|"AA00040"|""|"A Level"
251|"2013"|"A* - A"|"49"|"20131107174042"|"AA00040"|""|"GCSE"
607|"2013"|"A*"|"12"|"20131107181636"|"AA00040"|""|"A Level"
607|"2013"|"A* - B"|"55"|"20131107181640"|"AA00040"|""|"A Level"
590|"2013"|"A* - A"|"55"|"20131108094207"|"AA00025"|""|"GCSE"
180|"2013"|"A* - A"|"25"|"20131108094554"|"AA00040"|""|"A Level"
180|"2013"|"A* - B"|"58"|"20131108094558"|"AA00040"|""|"A Level"
318|"2013"|"A*"|"11"|"20131112095519"|"AA00040"|""|"GCSE"
318|"2013"|"A*"|"8"|"20131112095529"|"AA00040"|""|"A Level"
318|"2013"|"A* - A"|"28"|"20131112095533"|"AA00040"|""|"A Level"
318|"2013"|"A* - B"|"54"|"20131112095539"|"AA00040"|""|"A Level"
586|"2013"|""|"32.8"|"20131112174822"|"AA00040"|""|"IB"
586|"2013"|"A* - A"|"43.18"|"20131112174838"|"AA00040"|""|"A Level"
24|"2013"|"A* - B"|"27"|"20131113101012"|"AA00040"|""|"A Level"
530|"2008"|"A-B"|"0"|"20131114211658"|""|""|"A Level"
530|"2009"|"A*"|"0"|"20131114211702"|""|""|"GCSE"
530|"2008"|"A* - A"|"0"|"20131114211721"|""|""|"GCSE"
530|"2008"|"A*"|"0"|"20131114211725"|""|""|"GCSE"
530|"2007"|"A*"|"0"|"20131114211729"|""|""|"GCSE"
530|"2008"|"A"|"0"|"20131114211746"|""|""|"A Level"
46|"2013"|"A* - B"|"39"|"20131121101054"|"AA00040"|""|"A Level"
351|"2013"|"A* - B"|"71"|"20131127094029"|"AA00040"|""|"A Level"
598|"2013"|"A*"|"38.26"|"20140103102455"|"AA00025"|""|"A Level"
598|"2013"|"A* - A"|"85.57"|"20140103102501"|"AA00025"|""|"A Level"
290|"2013"|"A*"|"26"|"20140107114456"|"AA00025"|""|"A Level"
36|"2013"|"A* - B"|"86"|"20140215115728"|"AA00025"|""|"A Level"
423|"2013"|"A*"|"12.96"|"20140315105126"|"AA00025"|""|"A Level"
423|"2013"|"A* - A"|"44"|"20140315105223"|"AA00040"|""|"A Level"
423|"2013"|"A* - B"|"74"|"20140315105258"|"AA00040"|""|"A Level"
423|"2013"|"A* - B"|"75"|"20140315105316"|"AA00044"|""|"A Level"
423|"2013"|"A* - A"|"46"|"20140315105342"|"AA00044"|""|"A Level"
423|"2013"|"A*"|"13"|"20140315105354"|"AA00044"|""|"A Level"
423|"2012"|"A* - A"|"52.0"|"20140315105515"|""|""|"GCSE"
441|"2013"|"A* - A"|"47"|"20140315134006"|"AA00040"|""|"A Level"
441|"2013"|"A* - A"|"50.7"|"20140315134059"|"AA00025"|""|"GCSE"
590|"2013"|"A*"|"25"|"20140315151807"|"AA00025"|""|"GCSE"
590|"2013"|"A* - A"|"54"|"20140315151939"|"AA00025"|""|"GCSE"
590|"2013"|"A* - B"|"72.2"|"20140317125111"|"AA00025"|""|"A Level"
590|"2013"|"A* - A"|"45.9"|"20140317125128"|"AA00025"|""|"A Level"
590|"2012"|"A* - A"|"51.0"|"20140317125657"|""|""|"GCSE"
590|"2011"|"A* - A"|"56.0"|"20140317125909"|""|""|"GCSE"
590|"2011"|"A*"|"15.6"|"20140317130046"|""|""|"A Level"
590|"2011"|"A* - A"|"50.2"|"20140317130113"|""|""|"A Level"
590|"2011"|"A* - B"|"73.0"|"20140317130138"|""|""|"A Level"
590|"2010"|"A* - A"|"55.0"|"20140317130243"|""|""|"GCSE"
590|"2009"|"A* - A"|"51.0"|"20140317133028"|""|""|"GCSE"
590|"2009"|"A*"|"0"|"20140317133333"|""|""|"GCSE"
590|"2009"|"A"|"38.6"|"20140317133359"|""|""|"A Level"
590|"2009"|""|"39.3"|"20140317133413"|"AA00044"|""|"A Level"
590|"2008"|"A-B"|"69.4"|"20140317133452"|""|""|"A Level"
590|"2008"|"A*"|"23.2"|"20140317134113"|""|""|"GCSE"
590|"2008"|"A* - A"|"71.3"|"20140317134155"|""|""|"GCSE"
590|"2007"|"A*"|"17.1"|"20140317134303"|""|""|"GCSE"
590|"2007"|"A* - A"|"62.2"|"20140317134330"|""|""|"GCSE"
13|"2013"|"A* - B"|"76"|"20140524111153"|"AA00025"|""|"GCSE"
462|"2013"|"A*"|"50"|"20140531172052"|"AA00025"|""|"GCSE"
462|"2012"|"A* - A"|"45.0"|"20140531172119"|""|""|"GCSE"
462|"2011"|"A*"|"46.0"|"20140531172351"|""|""|"GCSE"
462|"2011"|"A* - A"|"79.0"|"20140531172357"|""|""|"GCSE"
462|"2010"|"A*"|"44.3"|"20140531172422"|""|""|"GCSE"
462|"2010"|"A* - A"|"72.1"|"20140531172428"|""|""|"GCSE"
462|"2013"|"A*"|"30"|"20140531172455"|"AA00025"|""|"A Level"
462|"2013"|"A* - A"|"68"|"20140531172502"|"AA00025"|""|"A Level"
462|"2012"|"A* - A"|"65.0"|"20140531172522"|""|""|"A Level"
462|"2010"|"A*"|"33.3"|"20140531172856"|""|""|"A Level"
462|"2010"|"A* - A"|"70.2"|"20140531172902"|""|""|"A Level"
462|"2010"|"A* - B"|"88.9"|"20140531172909"|""|""|"A Level"
